Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,
"12:15:07AM Nov 19, 2024",97,65,0,0,0,
"12:15:11AM Nov 19, 2024",97,66,11,0,0,
"12:15:15AM Nov 19, 2024",97,67,12,0,0,
"12:15:19AM Nov 19, 2024",97,69,1,0,0,
"12:15:23AM Nov 19, 2024",97,69,16,0,0,
"12:15:27AM Nov 19, 2024",97,69,95,0,0,
"12:15:31AM Nov 19, 2024",97,68,14,0,0,
"12:15:35AM Nov 19, 2024",97,73,29,0,0,
"12:15:39AM Nov 19, 2024",97,72,0,0,0,
"12:15:43AM Nov 19, 2024",97,75,3,0,0,
"12:15:47AM Nov 19, 2024",97,80,0,0,0,
"12:15:51AM Nov 19, 2024",97,79,7,0,0,
"12:15:55AM Nov 19, 2024",97,78,13,0,0,
"12:15:59AM Nov 19, 2024",97,78,7,0,0,
"12:16:03AM Nov 19, 2024",97,81,0,0,0,
"12:16:07AM Nov 19, 2024",97,72,0,0,0,
"12:16:11AM Nov 19, 2024",98,63,0,0,0,
"12:16:15AM Nov 19, 2024",97,58,0,0,0,
"12:16:19AM Nov 19, 2024",97,59,0,0,0,
"12:16:23AM Nov 19, 2024",97,58,0,0,0,
"12:16:27AM Nov 19, 2024",97,58,5,0,0,
"12:16:31AM Nov 19, 2024",97,60,15,0,0,
"12:16:35AM Nov 19, 2024",97,61,0,0,0,
"12:16:39AM Nov 19, 2024",96,64,0,0,0,
"12:16:43AM Nov 19, 2024",97,62,0,0,0,
"12:16:47AM Nov 19, 2024",97,61,0,0,0,
"12:16:51AM Nov 19, 2024",97,62,0,0,0,
"12:16:55AM Nov 19, 2024",97,65,0,0,0,
"12:16:59AM Nov 19, 2024",97,65,1,0,0,
"12:17:03AM Nov 19, 2024",97,65,1,0,0,
"12:17:07AM Nov 19, 2024",97,65,0,0,0,
"12:17:11AM Nov 19, 2024",97,63,0,0,0,
"12:17:15AM Nov 19, 2024",97,60,0,0,0,
"12:17:19AM Nov 19, 2024",97,60,0,0,0,
"12:17:23AM Nov 19, 2024",97,63,0,0,0,
"12:17:27AM Nov 19, 2024",98,62,0,0,0,
"12:17:31AM Nov 19, 2024",98,62,1,0,0,
"12:17:35AM Nov 19, 2024",98,63,0,0,0,
"12:17:39AM Nov 19, 2024",98,61,0,0,0,
"12:17:43AM Nov 19, 2024",98,61,16,0,0,
"12:17:47AM Nov 19, 2024",98,61,1,0,0,
"12:17:51AM Nov 19, 2024",98,61,10,0,0,
"12:17:55AM Nov 19, 2024",97,62,0,0,0,
"12:17:59AM Nov 19, 2024",97,61,6,0,0,
"12:18:03AM Nov 19, 2024",97,61,0,0,0,
"12:18:07AM Nov 19, 2024",97,63,0,0,0,
"12:18:11AM Nov 19, 2024",98,62,0,0,0,
"12:18:15AM Nov 19, 2024",98,61,6,0,0,
"12:18:19AM Nov 19, 2024",97,61,13,0,0,
"12:18:23AM Nov 19, 2024",97,62,0,0,0,
"12:18:27AM Nov 19, 2024",97,63,0,0,0,
"12:18:31AM Nov 19, 2024",97,59,0,0,0,
"12:18:35AM Nov 19, 2024",98,57,0,0,0,
"12:18:39AM Nov 19, 2024",97,58,0,0,0,
"12:18:43AM Nov 19, 2024",97,61,23,0,0,
"12:18:47AM Nov 19, 2024",96,67,33,0,0,
"12:18:51AM Nov 19, 2024",96,67,25,0,0,
"12:18:55AM Nov 19, 2024",96,67,9,0,0,
"12:18:59AM Nov 19, 2024",96,68,3,0,0,
"12:19:03AM Nov 19, 2024",96,65,28,0,0,
"12:19:07AM Nov 19, 2024",97,64,4,0,0,
"12:19:11AM Nov 19, 2024",97,64,8,0,0,
"12:19:15AM Nov 19, 2024",97,61,11,0,0,
"12:19:19AM Nov 19, 2024",97,61,4,0,0,
"12:19:23AM Nov 19, 2024",97,64,5,0,0,
"12:19:27AM Nov 19, 2024",97,65,9,0,0,
"12:19:31AM Nov 19, 2024",97,65,0,0,0,
"12:19:35AM Nov 19, 2024",97,65,0,0,0,
"12:19:39AM Nov 19, 2024",97,64,4,0,0,
"12:19:43AM Nov 19, 2024",97,65,3,0,0,
"12:19:47AM Nov 19, 2024",97,65,3,0,0,
"12:19:51AM Nov 19, 2024",97,65,1,0,0,
"12:19:55AM Nov 19, 2024",97,65,6,0,0,
"12:19:59AM Nov 19, 2024",97,65,1,0,0,
"12:20:03AM Nov 19, 2024",97,63,75,0,0,
"12:20:07AM Nov 19, 2024",97,63,0,0,0,
"12:20:11AM Nov 19, 2024",97,60,0,0,0,
"12:20:15AM Nov 19, 2024",97,57,0,0,0,
"12:20:19AM Nov 19, 2024",97,57,0,0,0,
"12:20:23AM Nov 19, 2024",97,58,0,0,0,
"12:20:27AM Nov 19, 2024",96,57,0,0,0,
"12:20:31AM Nov 19, 2024",96,60,0,0,0,
"12:20:35AM Nov 19, 2024",96,63,0,0,0,
"12:20:39AM Nov 19, 2024",96,66,0,0,0,
"12:20:43AM Nov 19, 2024",96,67,0,0,0,
"12:20:47AM Nov 19, 2024",96,63,61,0,0,
"12:20:51AM Nov 19, 2024",96,65,7,0,0,
"12:20:55AM Nov 19, 2024",96,67,0,0,0,
"12:20:59AM Nov 19, 2024",96,65,0,0,0,
"12:21:03AM Nov 19, 2024",96,58,0,0,0,
"12:21:07AM Nov 19, 2024",97,58,0,0,0,
"12:21:11AM Nov 19, 2024",97,58,0,0,0,
"12:21:15AM Nov 19, 2024",97,63,0,0,0,
"12:21:19AM Nov 19, 2024",97,64,0,0,0,
"12:21:23AM Nov 19, 2024",97,61,6,0,0,
"12:21:27AM Nov 19, 2024",97,62,2,0,0,
"12:21:31AM Nov 19, 2024",97,63,1,0,0,
"12:21:35AM Nov 19, 2024",97,63,0,0,0,
"12:21:39AM Nov 19, 2024",96,64,0,0,0,
"12:21:43AM Nov 19, 2024",96,62,0,0,0,
"12:21:47AM Nov 19, 2024",96,59,3,0,0,
"12:21:51AM Nov 19, 2024",97,62,2,0,0,
"12:21:55AM Nov 19, 2024",97,61,0,0,0,
"12:21:59AM Nov 19, 2024",97,58,0,0,0,
"12:22:03AM Nov 19, 2024",97,58,0,0,0,
"12:22:07AM Nov 19, 2024",97,59,0,0,0,
"12:22:11AM Nov 19, 2024",97,60,0,0,0,
"12:22:15AM Nov 19, 2024",96,59,0,0,0,
"12:22:19AM Nov 19, 2024",96,58,0,0,0,
"12:22:23AM Nov 19, 2024",96,59,12,0,0,
"12:22:27AM Nov 19, 2024",96,59,0,0,0,
"12:22:31AM Nov 19, 2024",96,58,0,0,0,
"12:22:35AM Nov 19, 2024",97,57,0,0,0,
"12:22:39AM Nov 19, 2024",97,58,0,0,0,
"12:22:43AM Nov 19, 2024",97,58,0,0,0,
"12:22:47AM Nov 19, 2024",96,58,0,0,0,
"12:22:51AM Nov 19, 2024",96,58,9,0,0,
"12:22:55AM Nov 19, 2024",96,58,3,0,0,
"12:22:59AM Nov 19, 2024",96,60,0,0,0,
"12:23:03AM Nov 19, 2024",96,59,0,0,0,
"12:23:07AM Nov 19, 2024",96,58,0,0,0,
"12:23:11AM Nov 19, 2024",96,59,0,0,0,
"12:23:15AM Nov 19, 2024",96,60,0,0,0,
"12:23:19AM Nov 19, 2024",95,59,0,0,0,
"12:23:23AM Nov 19, 2024",96,59,9,0,0,
"12:23:27AM Nov 19, 2024",96,61,2,0,0,
"12:23:31AM Nov 19, 2024",96,62,0,0,0,
"12:23:35AM Nov 19, 2024",96,59,0,0,0,
"12:23:39AM Nov 19, 2024",97,58,0,0,0,
"12:23:43AM Nov 19, 2024",97,59,0,0,0,
"12:23:47AM Nov 19, 2024",97,59,0,0,0,
"12:23:51AM Nov 19, 2024",97,60,0,0,0,
"12:23:55AM Nov 19, 2024",96,60,0,0,0,
"12:23:59AM Nov 19, 2024",96,61,0,0,0,
"12:24:03AM Nov 19, 2024",96,60,0,0,0,
"12:24:07AM Nov 19, 2024",96,60,0,0,0,
"12:24:11AM Nov 19, 2024",96,64,0,0,0,
"12:24:15AM Nov 19, 2024",96,65,0,0,0,
"12:24:19AM Nov 19, 2024",97,64,0,0,0,
"12:24:23AM Nov 19, 2024",97,63,0,0,0,
"12:24:27AM Nov 19, 2024",97,64,0,0,0,
"12:24:31AM Nov 19, 2024",97,62,0,0,0,
"12:24:35AM Nov 19, 2024",97,60,0,0,0,
"12:24:39AM Nov 19, 2024",97,60,0,0,0,
"12:24:43AM Nov 19, 2024",97,59,0,0,0,
"12:24:47AM Nov 19, 2024",97,60,0,0,0,
"12:24:51AM Nov 19, 2024",97,60,0,0,0,
"12:24:55AM Nov 19, 2024",97,60,0,0,0,
"12:24:59AM Nov 19, 2024",97,60,0,0,0,
"12:25:03AM Nov 19, 2024",97,59,0,0,0,
"12:25:07AM Nov 19, 2024",97,58,0,0,0,
"12:25:11AM Nov 19, 2024",97,59,5,0,0,
"12:25:15AM Nov 19, 2024",97,60,6,0,0,
"12:25:19AM Nov 19, 2024",96,61,0,0,0,
"12:25:23AM Nov 19, 2024",96,58,0,0,0,
"12:25:27AM Nov 19, 2024",96,57,0,0,0,
"12:25:31AM Nov 19, 2024",97,59,6,0,0,
"12:25:35AM Nov 19, 2024",97,59,0,0,0,
"12:25:39AM Nov 19, 2024",97,59,2,0,0,
"12:25:43AM Nov 19, 2024",97,59,0,0,0,
"12:25:47AM Nov 19, 2024",96,58,0,0,0,
"12:25:51AM Nov 19, 2024",96,57,0,0,0,
"12:25:55AM Nov 19, 2024",95,58,0,0,0,
"12:25:59AM Nov 19, 2024",95,60,4,0,0,
"12:26:03AM Nov 19, 2024",95,65,0,0,0,
"12:26:07AM Nov 19, 2024",96,63,0,0,0,
"12:26:11AM Nov 19, 2024",96,55,0,0,0,
"12:26:15AM Nov 19, 2024",97,55,0,0,0,
"12:26:19AM Nov 19, 2024",97,57,0,0,0,
"12:26:23AM Nov 19, 2024",97,58,0,0,0,
"12:26:27AM Nov 19, 2024",97,59,0,0,0,
"12:26:31AM Nov 19, 2024",97,58,0,0,0,
"12:26:35AM Nov 19, 2024",97,58,0,0,0,
"12:26:39AM Nov 19, 2024",97,58,0,0,0,
"12:26:43AM Nov 19, 2024",97,58,0,0,0,
"12:26:47AM Nov 19, 2024",97,61,0,0,0,
"12:26:51AM Nov 19, 2024",96,60,0,0,0,
"12:26:55AM Nov 19, 2024",96,58,0,0,0,
"12:26:59AM Nov 19, 2024",96,59,0,0,0,
"12:27:03AM Nov 19, 2024",97,60,0,0,0,
"12:27:07AM Nov 19, 2024",97,60,0,0,0,
"12:27:11AM Nov 19, 2024",96,64,4,0,0,
"12:27:15AM Nov 19, 2024",95,67,6,0,0,
"12:27:19AM Nov 19, 2024",95,74,5,0,0,
"12:27:23AM Nov 19, 2024",94,75,0,0,0,
"12:27:27AM Nov 19, 2024",94,75,0,0,0,
"12:27:31AM Nov 19, 2024",95,68,0,0,0,
"12:27:35AM Nov 19, 2024",97,64,0,0,0,
"12:27:39AM Nov 19, 2024",97,62,0,0,0,
"12:27:43AM Nov 19, 2024",97,60,0,0,0,
"12:27:47AM Nov 19, 2024",97,58,0,0,0,
"12:27:51AM Nov 19, 2024",97,57,0,0,0,
"12:27:55AM Nov 19, 2024",97,57,0,0,0,
"12:27:59AM Nov 19, 2024",97,57,0,0,0,
"12:28:03AM Nov 19, 2024",97,56,0,0,0,
"12:28:07AM Nov 19, 2024",97,53,0,0,0,
"12:28:11AM Nov 19, 2024",97,54,0,0,0,
"12:28:15AM Nov 19, 2024",97,59,0,0,0,
"12:28:19AM Nov 19, 2024",96,65,0,0,0,
"12:28:23AM Nov 19, 2024",96,63,0,0,0,
"12:28:27AM Nov 19, 2024",96,54,0,0,0,
"12:28:31AM Nov 19, 2024",96,52,0,0,0,
"12:28:35AM Nov 19, 2024",96,55,0,0,0,
"12:28:39AM Nov 19, 2024",97,57,0,0,0,
"12:28:43AM Nov 19, 2024",97,58,0,0,0,
"12:28:47AM Nov 19, 2024",97,63,6,0,0,
"12:28:51AM Nov 19, 2024",97,63,20,0,0,
"12:28:55AM Nov 19, 2024",97,63,15,0,0,
"12:28:59AM Nov 19, 2024",96,67,2,0,0,
"12:29:03AM Nov 19, 2024",96,73,0,0,0,
"12:29:07AM Nov 19, 2024",96,71,0,0,0,
"12:29:11AM Nov 19, 2024",97,61,0,0,0,
"12:29:15AM Nov 19, 2024",97,57,0,0,0,
"12:29:19AM Nov 19, 2024",97,58,0,0,0,
"12:29:23AM Nov 19, 2024",97,60,0,0,0,
"12:29:27AM Nov 19, 2024",96,60,0,0,0,
"12:29:31AM Nov 19, 2024",96,60,0,0,0,
"12:29:35AM Nov 19, 2024",96,61,0,0,0,
"12:29:39AM Nov 19, 2024",97,61,0,0,0,
"12:29:43AM Nov 19, 2024",97,60,0,0,0,
"12:29:47AM Nov 19, 2024",97,60,0,0,0,
"12:29:51AM Nov 19, 2024",97,59,0,0,0,
"12:29:55AM Nov 19, 2024",97,59,0,0,0,
"12:29:59AM Nov 19, 2024",97,59,0,0,0,
"12:30:03AM Nov 19, 2024",97,60,0,0,0,
"12:30:07AM Nov 19, 2024",97,62,0,0,0,
"12:30:11AM Nov 19, 2024",97,63,0,0,0,
"12:30:15AM Nov 19, 2024",97,62,0,0,0,
"12:30:19AM Nov 19, 2024",96,61,0,0,0,
"12:30:23AM Nov 19, 2024",96,58,0,0,0,
"12:30:27AM Nov 19, 2024",96,56,0,0,0,
"12:30:31AM Nov 19, 2024",96,56,0,0,0,
"12:30:35AM Nov 19, 2024",96,57,0,0,0,
"12:30:39AM Nov 19, 2024",96,58,0,0,0,
"12:30:43AM Nov 19, 2024",96,59,0,0,0,
"12:30:47AM Nov 19, 2024",96,59,1,0,0,
"12:30:51AM Nov 19, 2024",96,64,0,0,0,
"12:30:55AM Nov 19, 2024",96,64,0,0,0,
"12:30:59AM Nov 19, 2024",96,62,0,0,0,
"12:31:03AM Nov 19, 2024",96,57,0,0,0,
"12:31:07AM Nov 19, 2024",96,58,0,0,0,
"12:31:11AM Nov 19, 2024",97,57,0,0,0,
"12:31:15AM Nov 19, 2024",97,58,0,0,0,
"12:31:19AM Nov 19, 2024",97,58,1,0,0,
"12:31:23AM Nov 19, 2024",97,57,0,0,0,
"12:31:27AM Nov 19, 2024",97,56,0,0,0,
"12:31:31AM Nov 19, 2024",97,56,0,0,0,
"12:31:35AM Nov 19, 2024",97,58,0,0,0,
"12:31:39AM Nov 19, 2024",97,58,0,0,0,
"12:31:43AM Nov 19, 2024",97,57,0,0,0,
"12:31:47AM Nov 19, 2024",97,58,0,0,0,
"12:31:51AM Nov 19, 2024",96,60,0,0,0,
"12:31:55AM Nov 19, 2024",96,60,0,0,0,
"12:31:59AM Nov 19, 2024",96,62,0,0,0,
"12:32:03AM Nov 19, 2024",96,60,0,0,0,
"12:32:07AM Nov 19, 2024",96,64,0,0,0,
"12:32:11AM Nov 19, 2024",97,61,0,0,0,
"12:32:15AM Nov 19, 2024",97,61,0,0,0,
"12:32:19AM Nov 19, 2024",96,62,0,0,0,
"12:32:23AM Nov 19, 2024",96,58,0,0,0,
"12:32:27AM Nov 19, 2024",96,56,0,0,0,
"12:32:31AM Nov 19, 2024",96,57,0,0,0,
"12:32:35AM Nov 19, 2024",96,60,0,0,0,
"12:32:39AM Nov 19, 2024",96,64,0,0,0,
"12:32:43AM Nov 19, 2024",96,66,0,0,0,
"12:32:47AM Nov 19, 2024",96,64,0,0,0,
"12:32:51AM Nov 19, 2024",96,62,0,0,0,
"12:32:55AM Nov 19, 2024",96,58,0,0,0,
"12:32:59AM Nov 19, 2024",96,63,0,0,0,
"12:33:03AM Nov 19, 2024",96,60,0,0,0,
"12:33:07AM Nov 19, 2024",97,58,0,0,0,
"12:33:11AM Nov 19, 2024",96,59,0,0,0,
"12:33:15AM Nov 19, 2024",96,64,0,0,0,
"12:33:19AM Nov 19, 2024",96,64,0,0,0,
"12:33:23AM Nov 19, 2024",96,64,2,0,0,
"12:33:27AM Nov 19, 2024",95,55,7,0,0,
"12:33:31AM Nov 19, 2024",94,56,12,0,0,
"12:33:35AM Nov 19, 2024",94,63,0,0,0,
"12:33:39AM Nov 19, 2024",93,80,0,0,0,
"12:33:43AM Nov 19, 2024",94,79,0,0,0,
"12:33:47AM Nov 19, 2024",96,66,0,0,0,
"12:33:51AM Nov 19, 2024",97,59,0,0,0,
"12:33:55AM Nov 19, 2024",97,58,0,0,0,
"12:33:59AM Nov 19, 2024",97,58,0,0,0,
"12:34:03AM Nov 19, 2024",96,59,0,0,0,
"12:34:07AM Nov 19, 2024",96,59,0,0,0,
"12:34:11AM Nov 19, 2024",96,62,0,0,0,
"12:34:15AM Nov 19, 2024",97,62,0,0,0,
"12:34:19AM Nov 19, 2024",97,58,0,0,0,
"12:34:23AM Nov 19, 2024",97,57,0,0,0,
"12:34:27AM Nov 19, 2024",97,60,0,0,0,
"12:34:31AM Nov 19, 2024",97,63,0,0,0,
"12:34:35AM Nov 19, 2024",97,65,0,0,0,
"12:34:39AM Nov 19, 2024",97,66,0,0,0,
"12:34:43AM Nov 19, 2024",97,67,0,0,0,
"12:34:47AM Nov 19, 2024",97,66,0,0,0,
"12:34:51AM Nov 19, 2024",96,63,0,0,0,
"12:34:55AM Nov 19, 2024",96,61,0,0,0,
"12:34:59AM Nov 19, 2024",96,59,0,0,0,
"12:35:03AM Nov 19, 2024",96,62,0,0,0,
"12:35:07AM Nov 19, 2024",96,62,0,0,0,
"12:35:11AM Nov 19, 2024",96,58,0,0,0,
"12:35:15AM Nov 19, 2024",96,55,0,0,0,
"12:35:19AM Nov 19, 2024",96,59,0,0,0,
"12:35:23AM Nov 19, 2024",97,62,0,0,0,
"12:35:27AM Nov 19, 2024",97,63,0,0,0,
"12:35:31AM Nov 19, 2024",96,64,0,0,0,
"12:35:35AM Nov 19, 2024",96,67,0,0,0,
"12:35:39AM Nov 19, 2024",96,68,0,0,0,
"12:35:43AM Nov 19, 2024",95,65,0,0,0,
"12:35:47AM Nov 19, 2024",95,61,0,0,0,
"12:35:51AM Nov 19, 2024",96,64,0,0,0,
"12:35:55AM Nov 19, 2024",96,67,0,0,0,
"12:35:59AM Nov 19, 2024",96,68,0,0,0,
"12:36:03AM Nov 19, 2024",96,65,0,0,0,
"12:36:07AM Nov 19, 2024",96,61,0,0,0,
"12:36:11AM Nov 19, 2024",96,61,0,0,0,
"12:36:15AM Nov 19, 2024",96,66,0,0,0,
"12:36:19AM Nov 19, 2024",96,66,0,0,0,
"12:36:23AM Nov 19, 2024",96,65,0,0,0,
"12:36:27AM Nov 19, 2024",95,65,0,0,0,
"12:36:31AM Nov 19, 2024",95,66,0,0,0,
"12:36:35AM Nov 19, 2024",95,67,0,0,0,
"12:36:39AM Nov 19, 2024",95,68,0,0,0,
"12:36:43AM Nov 19, 2024",95,73,0,0,0,
"12:36:47AM Nov 19, 2024",95,70,0,0,0,
"12:36:51AM Nov 19, 2024",95,63,0,0,0,
"12:36:55AM Nov 19, 2024",95,63,0,0,0,
"12:36:59AM Nov 19, 2024",96,68,0,0,0,
"12:37:03AM Nov 19, 2024",96,68,0,0,0,
"12:37:07AM Nov 19, 2024",96,66,0,0,0,
"12:37:11AM Nov 19, 2024",96,66,0,0,0,
"12:37:15AM Nov 19, 2024",96,68,0,0,0,
"12:37:19AM Nov 19, 2024",96,71,0,0,0,
"12:37:23AM Nov 19, 2024",96,71,0,0,0,
"12:37:27AM Nov 19, 2024",96,68,0,0,0,
"12:37:31AM Nov 19, 2024",96,66,0,0,0,
"12:37:35AM Nov 19, 2024",96,65,0,0,0,
"12:37:39AM Nov 19, 2024",96,67,0,0,0,
"12:37:43AM Nov 19, 2024",95,71,2,0,0,
"12:37:47AM Nov 19, 2024",95,76,0,0,0,
"12:37:51AM Nov 19, 2024",95,71,0,0,0,
"12:37:55AM Nov 19, 2024",95,63,0,0,0,
"12:37:59AM Nov 19, 2024",96,59,0,0,0,
"12:38:03AM Nov 19, 2024",96,59,0,0,0,
"12:38:07AM Nov 19, 2024",97,61,0,0,0,
"12:38:11AM Nov 19, 2024",97,62,0,0,0,
"12:38:15AM Nov 19, 2024",96,62,0,0,0,
"12:38:19AM Nov 19, 2024",96,63,0,0,0,
"12:38:23AM Nov 19, 2024",96,64,0,0,0,
"12:38:27AM Nov 19, 2024",95,65,0,0,0,
"12:38:31AM Nov 19, 2024",96,66,0,0,0,
"12:38:35AM Nov 19, 2024",96,66,0,0,0,
"12:38:39AM Nov 19, 2024",96,67,0,0,0,
"12:38:43AM Nov 19, 2024",96,71,0,0,0,
